frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
22,22000,0.00000442724,4.5883513633964705,-16329.5,10070,89606.62954398114,0.012858212900803877,206.0112826466533
23,23000,0.00000459597,4.763221604347014,-16620.6,10256,90966.13993698753,0.013015613247084203,208.53311421659177
24,24000,0.00000477363,4.9473468162670855,-16813.9,10356,91618.43007161353,0.012707942005663145,203.60367747700587
25,25000,0.00000494106,5.120869749013779,-17078.9,10514,92720.4797991029,0.012657098265051486,202.78907094507431
26,26000,0.0000051201,5.306425180411784,-17328.3,10658,93646.20119133597,0.012538239811788568,200.88474857936203
27,27000,0.00000529378,5.486425556446221,-17571.4,10804,94779.34629133018,0.012497626438138038,200.2340505964541
28,28000,0.00000546052,5.659233379453948,-17775.1,10922,95400.33355287762,0.012428329208542942,199.12378657587215
29,29000,0.00000563126,5.83618676616583,-17974.7,11038,96073.15255931621,0.012359796429776077,198.02577040783854
30,30000,0.0000058038,6.015005656544582,-18213.7,11196,97184.19663596952,0.012581625185214646,201.57985889496828
31,31000,0.00000597439,6.191803584617558,-18416.2,11294,97729.58555727663,0.012180187782565872,195.14812262959313
32,32000,0.00000613489,6.3581443282468015,-18681.8,11450,98550.30696558743,0.012131704474725292,194.37133439998107
33,33000,0.00000630129,6.530599778339675,-18904.6,11592,99640.76837834992,0.012236933655209547,196.05729174184947
34,34000,0.00000646054,6.6956450333113695,-19111.2,11704,100310.54658770448,0.012033941644855222,192.80500118306563
35,35000,0.00000662601,6.867136639843027,-19211.9,11752,100503.12772686378,0.011838039859151082,189.66630854692514
36,36000,0.00000678793,7.034949058587247,-19417.9,11876,101281.0319764588,0.011838603858999564,189.67534482071332
37,37000,0.00000694892,7.20179763377025,-19666.2,12038,102577.22366193384,0.012010079470079697,192.42268699444793
38,38000,0.00000711584,7.374792007144663,-19883.2,12172,103601.63232032488,0.012042153430001581,192.93656848591488
39,39000,0.00000726729,7.531753412893255,-20133.7,12338,104865.6336980335,0.01225630707292493,196.36768811369257
40,40000,0.00000742278,7.692901837983044,-20402.8,12514,106008.95325901534,0.01246785467988349,199.7570544421688
41,41000,0.00000757109,7.846608976223874,-20664.4,12656,107091.43404522123,0.012200961800999137,195.48095909887374
42,42000,0.00000772552,8.006658826932062,-20876.7,12782,107977.6015928798,0.01216045265527131,194.8319310313895
43,43000,0.00000788116,8.167962710660756,-21002.9,12846,108171.15526913629,0.011999146470891956,192.24752103606653
44,44000,0.00000803398,8.326343971978021,-21181.1,12942,108662.63895027811,0.011838651117138839,189.67610197957845
45,45000,0.00000818918,8.487191843699259,-21365.7,13054,109453.0671311169,0.011843001735594529,189.74580657191
46,46000,0.00000834131,8.644857995277556,-21553.2,13168,110366.65684288871,0.011839252228687508,189.68573284835549
47,47000,0.00000849469,8.803819635513403,-21807.3,13324,111501.2925106703,0.011868716085719976,190.15779588120486
48,48000,0.00000864451,8.959091724052552,-22004,13446,112180.78964440107,0.01193137559686239,191.16171192770724
49,49000,0.00000879481,9.114861280236198,-22273.7,13608,113360.07485074323,0.011909005262897539,190.80329966397466
50,50000,0.00000894536,9.270889934151356,-22424.7,13696,113714.97408253566,0.011887397828704828,190.4571104021321
51,51000,0.00000908472,9.415321373604137,-22683.4,13860,114669.21678252393,0.012015271392434745,192.50587076127593
52,52000,0.00000923322,9.569225426120914,-22820.5,13914,114971.24034684285,0.011606612401277826,185.95843189221964
53,53000,0.00000937972,9.721056696785615,-22971.5,14000,115602.40783209402,0.011528514197867443,184.7071607256047
54,54000,0.00000953368,9.880619443758563,-23160.8,14124,116387.18090747055,0.011673880004707204,187.03617771661692
55,55000,0.0000096829,10.035269697742088,-23348.8,14230,116808.92929597701,0.011597638024464082,185.81464652386273
56,56000,0.00000983286,10.190686881010881,-23466.3,14282,117225.9732868051,0.011324115934206356,181.43233950492504
