id	x	y	z
14632	-118.22701534829915	-79.25232878931713	-27.263286712722007
14633	-118.22701534829915	-79.25232878931713	-19.582786712722026
14634	-118.22701534829915	-79.25232878931713	-11.902386712722006
14635	-118.22701534829915	-79.25232878931713	-4.221886712722011
14636	-118.22701534829915	-73.52032878931713	-27.263286712722007
14637	-118.22701534829915	-73.52032878931713	-19.582786712722026
14638	-118.22701534829915	-73.52032878931713	-11.902386712722006
14639	-118.22701534829915	-73.52032878931713	-4.221886712722011
14648	-118.22701534829915	-79.25232878931713	3.4586132872779842
14649	-118.22701534829915	-79.25232878931713	11.13911328727798
14650	-118.22701534829915	-79.25232878931713	18.819513287278
14651	-118.22701534829915	-79.25232878931713	26.500013287277994
14652	-118.22701534829915	-73.52032878931713	3.4586132872779842
14653	-118.22701534829915	-73.52032878931713	11.13911328727798
14654	-118.22701534829915	-73.52032878931713	18.819513287278
14655	-118.22701534829915	-73.52032878931713	26.500013287277994
14664	-118.22701534829915	-79.25232878931713	34.18051328727799
14665	-118.22701534829915	-79.25232878931713	41.861013287277984
14666	-118.22701534829915	-79.25232878931713	49.54151328727798
14667	-118.22701534829915	-79.25232878931713	57.221913287278
14668	-118.22701534829915	-73.52032878931713	34.18051328727799
14669	-118.22701534829915	-73.52032878931713	41.861013287277984
14670	-118.22701534829915	-73.52032878931713	49.54151328727798
14671	-118.22701534829915	-73.52032878931713	57.221913287278
14680	-118.22701534829915	-79.25232878931713	64.902413287278
14681	-118.22701534829915	-79.25232878931713	72.58291328727799
14682	-118.22701534829915	-79.25232878931713	80.26341328727798
14683	-118.22701534829915	-79.25232878931713	87.94381328727798
14684	-118.22701534829915	-73.52032878931713	64.902413287278
14685	-118.22701534829915	-73.52032878931713	72.58291328727799
14686	-118.22701534829915	-73.52032878931713	80.26341328727798
14687	-118.22701534829915	-73.52032878931713	87.94381328727798
14696	-118.22701534829915	-79.25232878931713	95.624313287278
14697	-118.22701534829915	-79.25232878931713	103.304813287278
14698	-118.22701534829915	-79.25232878931713	110.98521328727799
14700	-118.22701534829915	-73.52032878931713	95.624313287278
14701	-118.22701534829915	-73.52032878931713	103.304813287278
14702	-118.22701534829915	-73.52032878931713	110.98521328727799
14703	-118.22701534829915	-73.52032878931713	118.66571328727798
14744	-118.22701534829915	-67.78832878931713	-119.42898671272201
14745	-118.22701534829915	-67.78832878931713	-111.74848671272201
14746	-118.22701534829915	-67.78832878931713	-104.06798671272202
14747	-118.22701534829915	-67.78832878931713	-96.38758671272201
14748	-118.22701534829915	-62.056328789317135	-119.42898671272201
14749	-118.22701534829915	-62.056328789317135	-111.74848671272201
14750	-118.22701534829915	-62.056328789317135	-104.06798671272202
14751	-118.22701534829915	-62.056328789317135	-96.38758671272201
14760	-118.22701534829915	-67.78832878931713	-88.707086712722
14761	-118.22701534829915	-67.78832878931713	-81.02658671272201
14762	-118.22701534829915	-67.78832878931713	-73.34618671272202
14763	-118.22701534829915	-67.78832878931713	-65.665686712722
14764	-118.22701534829915	-62.056328789317135	-88.707086712722
14765	-118.22701534829915	-62.056328789317135	-81.02658671272201
14766	-118.22701534829915	-62.056328789317135	-73.34618671272202
14767	-118.22701534829915	-62.056328789317135	-65.665686712722
14776	-118.22701534829915	-67.78832878931713	-57.98518671272201
14777	-118.22701534829915	-67.78832878931713	-50.30468671272202
14778	-118.22701534829915	-67.78832878931713	-42.62418671272201
14779	-118.22701534829915	-67.78832878931713	-34.943786712722016
14780	-118.22701534829915	-62.056328789317135	-57.98518671272201
14781	-118.22701534829915	-62.056328789317135	-50.30468671272202
14782	-118.22701534829915	-62.056328789317135	-42.62418671272201
14783	-118.22701534829915	-62.056328789317135	-34.943786712722016
14792	-118.22701534829915	-67.78832878931713	-27.263286712722007
14793	-118.22701534829915	-67.78832878931713	-19.582786712722026
14794	-118.22701534829915	-67.78832878931713	-11.902386712722006
14795	-118.22701534829915	-67.78832878931713	-4.221886712722011
14796	-118.22701534829915	-62.056328789317135	-27.263286712722007
14797	-118.22701534829915	-62.056328789317135	-19.582786712722026
14798	-118.22701534829915	-62.056328789317135	-11.902386712722006
14799	-118.22701534829915	-62.056328789317135	-4.221886712722011
14808	-118.22701534829915	-67.78832878931713	3.4586132872779842
14809	-118.22701534829915	-67.78832878931713	11.13911328727798
14810	-118.22701534829915	-67.78832878931713	18.819513287278
14811	-118.22701534829915	-67.78832878931713	26.500013287277994
14812	-118.22701534829915	-62.056328789317135	3.4586132872779842
14813	-118.22701534829915	-62.056328789317135	11.13911328727798
14814	-118.22701534829915	-62.056328789317135	18.819513287278
14815	-118.22701534829915	-62.056328789317135	26.500013287277994
14824	-118.22701534829915	-67.78832878931713	34.18051328727799
14825	-118.22701534829915	-67.78832878931713	41.861013287277984
14826	-118.22701534829915	-67.78832878931713	49.54151328727798
14827	-118.22701534829915	-67.78832878931713	57.221913287278
14828	-118.22701534829915	-62.056328789317135	34.18051328727799
14829	-118.22701534829915	-62.056328789317135	41.861013287277984
14830	-118.22701534829915	-62.056328789317135	49.54151328727798
14831	-118.22701534829915	-62.056328789317135	57.221913287278
14840	-118.22701534829915	-67.78832878931713	64.902413287278
14841	-118.22701534829915	-67.78832878931713	72.58291328727799
14842	-118.22701534829915	-67.78832878931713	80.26341328727798
14843	-118.22701534829915	-67.78832878931713	87.94381328727798
14844	-118.22701534829915	-62.056328789317135	64.902413287278
14845	-118.22701534829915	-62.056328789317135	72.58291328727799
14846	-118.22701534829915	-62.056328789317135	80.26341328727798
14847	-118.22701534829915	-62.056328789317135	87.94381328727798
14856	-118.22701534829915	-67.78832878931713	95.624313287278
14857	-118.22701534829915	-67.78832878931713	103.304813287278
14858	-118.22701534829915	-67.78832878931713	110.98521328727799
14860	-118.22701534829915	-62.056328789317135	95.624313287278
14895	-118.22701534829915	-50.592328789317136	-127.10948671272202
14904	-118.22701534829915	-56.324328789317136	-119.42898671272201
14905	-118.22701534829915	-56.324328789317136	-111.74848671272201
14906	-118.22701534829915	-56.324328789317136	-104.06798671272202
14907	-118.22701534829915	-56.324328789317136	-96.38758671272201
14908	-118.22701534829915	-50.592328789317136	-119.42898671272201
14909	-118.22701534829915	-50.592328789317136	-111.74848671272201
14910	-118.22701534829915	-50.592328789317136	-104.06798671272202
14911	-118.22701534829915	-50.592328789317136	-96.38758671272201
14920	-118.22701534829915	-56.324328789317136	-88.707086712722
14921	-118.22701534829915	-56.324328789317136	-81.02658671272201
14922	-118.22701534829915	-56.324328789317136	-73.34618671272202
14923	-118.22701534829915	-56.324328789317136	-65.665686712722
14924	-118.22701534829915	-50.592328789317136	-88.707086712722
14925	-118.22701534829915	-50.592328789317136	-81.02658671272201
14926	-118.22701534829915	-50.592328789317136	-73.34618671272202
14927	-118.22701534829915	-50.592328789317136	-65.665686712722
14936	-118.22701534829915	-56.324328789317136	-57.98518671272201
14937	-118.22701534829915	-56.324328789317136	-50.30468671272202
