frame,step,time_s,time_kappa,energy_eV,n_atoms,ovito_surface_area_A2,gamma_ovito_eV_A2,gamma_ovito_mJ_m2
24,24000,8.34837e-7,2.51229373453902,-11812.4,12382,110064.129623598,0.009000098427958833,144.19747404975774
25,25000,8.67684e-7,2.61114094938264,-11960.9,12526,110919.66028635247,0.008934250226169605,143.14246954678157
26,26000,9.01943e-7,2.71423732753978,-12132.9,12698,112260.50961243172,0.008879631879825453,142.26738716377835
27,27000,9.36454e-7,2.81809205495684,-12313.4,12868,113423.36401403596,0.008746980911950634,140.14208435171318
28,28000,9.69422e-7,2.9173033978181198,-12472.9,13030,114527.80725652198,0.00873255171785407,139.9109031754235
29,29000,0.00000100303,3.0184407070538,-12657.8,13228,115809.06682844822,0.008807186068694342,141.10667730552393
30,30000,0.00000103686,3.1202460858756,-12867.3,13452,117017.20598416177,0.008905254498565319,142.67790677424742
31,31000,0.00000106802,3.2140165737291997,-13066.7,13660,117992.3523094565,0.008964479301386274,143.62679272657732
32,32000,0.00000110053,3.3118496469038003,-13230.8,13816,118775.3957118859,0.008881839489375262,142.30275696815536
33,33000,0.00000113326,3.4103447710196,-13394.7,13992,119875.16129120394,0.008951212148056026,143.41422949592314
34,34000,0.00000116729,3.5127520143333997,-13580.5,14182,121104.48353567721,0.008948372251476116,143.36872933649005
35,35000,0.00000119986,3.6107656468556004,-13746,14328,121977.88078395114,0.008765130145962254,140.43286713829733
36,36000,0.00000123029,3.7023393293134,-13912.4,14484,122772.62448384632,0.008666883228027781,138.85877797552604
37,37000,0.00000126244,3.7990890464024,-14086.4,14654,123989.11301432442,0.008596206344962444,137.7264094694137
38,38000,0.00000129524,3.8977948230903996,-14254,14816,124544.16424015889,0.008557157266276429,137.1007742549141
39,39000,0.00000132917,3.9999011341581996,-14426.8,14994,125434.61871171866,0.008586114511777786,137.56472047618686
40,40000,0.00000136051,4.0942133000546,-14622,15206,126570.91311229965,0.008698712626202976,139.36874115583183
41,41000,0.00000139248,4.1904213391008005,-14812.2,15414,127858.69997922773,0.008805626837930567,141.0816956745566
42,42000,0.00000142363,4.2841617337298,-14980.4,15572,128634.9664042594,0.008714955438141898,139.6289796934218
43,43000,0.00000145309,4.3728163734014,-15185.1,15808,130179.04031722191,0.008913662269843059,142.81261412109953
44,44000,0.00000148472,4.468001242811201,-15379.3,15994,131096.10723602577,0.008836997714312322,141.5843125258261
45,45000,0.00000151569,4.5611999593974,-15530.4,16124,131692.55086227253,0.008670315765955065,138.91377329615017
46,46000,0.00000154555,4.651058328053,-15710.8,16314,132871.1050064746,0.008714279902643835,139.61815642151748
47,47000,0.00000157467,4.7386897980882,-15895,16524,134287.18168510988,0.008867681822322731,142.0759261347202
48,48000,0.0000016042,4.827555090332,-16095.5,16716,135281.90313123085,0.008787901208388214,140.79769977979961
49,49000,0.00000163329,4.9150962806934,-16272.8,16894,136247.28252091914,0.008775191533206777,140.59406833378534
50,50000,0.00000166312,5.004864369675199,-16420,17002,136653.31994678557,0.008489131478486902,136.01088097785586
51,51000,0.00000169202,5.0918337887692,-16604.4,17188,137659.29463751503,0.008484657741967655,135.93920381667778
52,52000,0.0000017227,5.184159801842,-16741.3,17316,138438.92579532322,0.008404023603304377,134.6473024879876
53,53000,0.00000175501,5.2813910105246,-16871.5,17420,138698.09143435594,0.008224914908363506,131.7776648281826
54,54000,0.00000178771,5.379795854966599,-17008.6,17556,139509.7035849047,0.008202325505649059,131.4157426961316
55,55000,0.00000181997,5.4768765975262,-17157.3,17706,140313.39008807682,0.008200956439564944,131.39380783922786
56,56000,0.00000185042,5.5685104664332,-17251.8,17776,140441.13889581044,0.008035992935355424,128.75080112015533
