frame,step,time_s,time_kappa,energy_eV,n_atoms,surface_sites,surface_area_A2,gamma_eV_A2,gamma_mJ_m2,spherical_surface_area_A2,gamma_spherical_mJ_m2
19,19000,6.64263e-7,1.9989815653634184,-10955.7,11590,4107,171171.4169437493,0.006007778742276466,96.25522723117263,105544.2212550721,156.1065441336097
20,20000,6.98977e-7,2.1034471852459435,-11153.1,11778,4103,171004.70506944324,0.005996045544966824,96.06724068545641,106682.5044536417,153.98916855565918
21,21000,7.31776e-7,2.202149952617233,-11288.8,11892,4100,170879.6711637137,0.005896125578534872,94.46634633058305,107369.7898040545,150.34376267725503
22,22000,7.65926e-7,2.304918314632219,-11480,12080,4117,171588.19662951445,0.0058903818552409086,94.37432173804554,108498.43121334384,149.25118726668958
23,23000,7.98901e-7,2.404150722756499,-11626,12196,4017,167420.3997718629,0.005881386027878102,94.23019269400368,109191.90586253729,144.48009132902578
24,24000,8.34837e-7,2.5122937346853584,-11812.4,12382,4028,167878.85742620457,0.005900611995977158,94.53822666254703,110299.28630398068,143.8900468627526
25,25000,8.67684e-7,2.611140949534736,-11960.9,12526,4042,168462.34898627579,0.005882525121864076,94.24844299168625,111152.80857371555,142.84222142842995
26,26000,9.01943e-7,2.7142373276978815,-12132.9,12698,4079,170004.43382360687,0.005863564717578442,93.94466382450989,112168.01930280834,142.3846964892873
27,27000,9.36454e-7,2.8180920551209905,-12313.4,12868,3998,166628.5183689091,0.005954034817758526,95.3941546303516,113166.93075220565,140.45964259572617
28,28000,9.69422e-7,2.9173033979880496,-12472.9,13030,4036,168212.2811748167,0.005945582528309058,95.25873402375417,114114.74908919795,140.4173350058008
29,29000,0.00000100303,3.0184407072296207,-12657.8,13228,4103,171004.70506944324,0.0059644674664700555,95.56130409031502,115267.87672407647,141.76918224262212
30,30000,0.00000103686,3.120246086057351,-12867.3,13452,4135,172338.40006389175,0.006046638471830253,96.87782873811898,116565.51183000128,143.2307870851216
31,31000,0.00000106802,3.2140165739164126,-13066.7,13660,4179,174172.23068125843,0.006072954315752566,97.29945504048219,117764.02354987222,143.9052659515724
32,32000,0.00000110053,3.311849647096712,-13230.8,13816,4170,173797.1289640698,0.006069973688794921,97.2517001318201,118658.91846737514,142.44244333334407
33,33000,0.00000113326,3.4103447712182486,-13394.7,13992,4210,175464.24770713042,0.006115365460609416,97.97895649359054,119664.51001343093,143.66668856411934
34,34000,0.00000116729,3.512752014538014,-13580.5,14182,4234,176464.51895296678,0.006141109875401277,98.39142749194578,120745.37090365516,143.79512681538608
35,35000,0.00000119986,3.6107656470659233,-13746,14328,4205,175255.85786424784,0.006100520764493697,97.74111824103619,121572.6502888776,140.90096321204274
36,36000,0.00000123029,3.702339329529057,-13912.4,14484,4197,174922.4341156357,0.006083016197319702,97.4606641558916,122453.49357434853,139.2206633477892
37,37000,0.00000126244,3.799089046623693,-14086.4,14654,4227,176172.77317293116,0.006049947337513821,96.93084261095156,123409.79399207741,138.3729345651167
38,38000,0.00000129524,3.897794823317442,-14254,14816,4195,174839.07817848268,0.006095570916428916,97.66181293192376,124317.65671335504,137.3505726996433
39,39000,0.00000132917,3.9999011343911897,-14426.8,14994,4219,175839.34942431905,0.006124886173236999,98.13149512669996,125311.378319638,137.70001170285192
40,40000,0.00000136051,4.094213300293084,-14622,15206,4295,179006.8750361342,0.006150624101882975,98.54386220554137,126489.79633689391,139.45811708339528
41,41000,0.00000139248,4.190421339344888,-14812.2,15414,4368,182049.36674221986,0.006184454360636309,99.08588270650904,127640.66915473131,141.32268593755805
